id,id_disputa,date,HAHA,LIKE,LOVE,SUPPORT,WOW,SORRY,ANGER
12983,3,"2020-08-31 00:14:14",446,3,1,1,2,1,1371
12984,3,"2020-08-31 00:14:29",446,3,1,1,2,1,1372
12985,3,"2020-08-31 00:14:44",448,3,1,1,2,1,1372
12986,3,"2020-08-31 00:14:58",448,3,1,1,2,1,1373
12987,3,"2020-08-31 00:15:15",449,3,1,1,2,1,1373
12988,3,"2020-08-31 00:15:29",450,3,1,1,2,1,1373
12989,3,"2020-08-31 00:15:44",450,3,1,1,2,1,1373
12990,3,"2020-08-31 00:15:59",450,3,1,1,2,1,1373
12991,3,"2020-08-31 00:16:14",451,3,1,1,2,1,1373
12992,3,"2020-08-31 00:16:29",451,3,1,1,2,1,1374
12993,3,"2020-08-31 00:16:44",451,3,1,1,2,1,1374
12994,3,"2020-08-31 00:16:59",451,3,1,1,2,1,1374
12995,3,"2020-08-31 00:17:14",451,3,1,1,2,1,1375
12996,3,"2020-08-31 00:17:29",451,3,1,1,2,1,1379
12997,3,"2020-08-31 00:17:44",451,3,1,1,2,1,1380
12998,3,"2020-08-31 00:17:59",451,3,1,1,2,1,1380
12999,3,"2020-08-31 00:18:14",452,3,1,1,2,1,1380
13000,3,"2020-08-31 00:18:29",452,3,1,1,2,1,1380
13001,3,"2020-08-31 00:18:44",452,3,1,1,2,1,1380
13002,3,"2020-08-31 00:18:59",452,3,1,1,2,1,1380
13003,3,"2020-08-31 00:19:14",453,3,1,1,2,1,1381
13004,3,"2020-08-31 00:19:29",453,3,1,1,2,1,1382
13005,3,"2020-08-31 00:19:44",453,3,1,1,2,1,1382
13006,3,"2020-08-31 00:19:59",453,3,1,1,2,1,1382
13007,3,"2020-08-31 00:20:14",453,3,1,1,2,1,1383
13008,3,"2020-08-31 00:20:30",453,3,1,1,2,1,1384
13009,3,"2020-08-31 00:20:44",453,3,1,1,2,1,1385
13010,3,"2020-08-31 00:20:59",453,3,1,1,2,1,1385
13011,3,"2020-08-31 00:21:14",454,3,1,1,2,1,1385
13012,3,"2020-08-31 00:21:29",454,3,1,1,2,1,1386
13013,3,"2020-08-31 00:21:44",454,3,1,1,2,1,1386
13014,3,"2020-08-31 00:21:59",454,3,1,1,2,1,1386
13015,3,"2020-08-31 00:22:14",454,3,1,1,2,1,1386
13016,3,"2020-08-31 00:22:29",454,3,1,1,2,1,1387
13017,3,"2020-08-31 00:22:44",454,3,1,1,2,1,1387
13018,3,"2020-08-31 00:22:59",455,3,1,1,2,1,1388
13019,3,"2020-08-31 00:23:14",455,3,1,1,2,1,1389
13020,3,"2020-08-31 00:23:29",455,3,1,1,2,1,1389
13021,3,"2020-08-31 00:23:44",455,3,1,1,2,1,1390
13022,3,"2020-08-31 00:23:59",455,3,1,1,2,1,1390
13023,3,"2020-08-31 00:24:14",455,3,1,1,2,1,1391
13024,3,"2020-08-31 00:24:36",455,3,1,1,2,1,1391
13025,3,"2020-08-31 00:24:44",455,3,1,1,2,1,1391
13026,3,"2020-08-31 00:24:59",455,3,1,1,2,1,1392
13027,3,"2020-08-31 00:25:14",455,3,1,1,2,1,1392
13028,3,"2020-08-31 00:25:29",455,3,1,1,2,1,1392
13029,3,"2020-08-31 00:25:44",455,3,1,1,2,1,1392
13030,3,"2020-08-31 00:26:19",455,3,1,1,2,1,1393
13031,3,"2020-08-31 00:26:19",455,3,1,1,2,1,1393
13032,3,"2020-08-31 00:26:29",455,3,1,1,2,1,1393
13033,3,"2020-08-31 00:26:44",455,3,1,1,2,1,1393
13034,3,"2020-08-31 00:26:59",455,3,1,1,2,1,1393
13035,3,"2020-08-31 00:27:14",455,3,1,1,2,1,1393
13036,3,"2020-08-31 00:27:29",455,3,1,1,2,1,1393
13037,3,"2020-08-31 00:27:44",455,3,1,1,2,1,1394
13038,3,"2020-08-31 00:27:59",455,3,1,1,2,1,1394
13039,3,"2020-08-31 00:28:14",455,3,1,1,2,1,1394
13040,3,"2020-08-31 00:28:29",455,3,1,1,2,1,1395
13041,3,"2020-08-31 00:28:44",457,3,1,1,2,1,1395
13042,3,"2020-08-31 00:28:59",457,3,1,1,2,1,1395
13043,3,"2020-08-31 00:29:14",457,3,1,1,2,1,1397
13044,3,"2020-08-31 00:29:30",458,3,1,1,2,1,1397
